feature,importance
mfcc_mean_12,0.004391436686489111
delta_mfcc_std_13,0.004385304631693063
spec_flatness_mean,0.004378065744314099
spec_contrast_band1_mean,0.004353328699367723
delta_mfcc_std_38,0.004352530238441074
mfcc_std_29,0.004298881403903324
mfcc_mean_39,0.004224025650391655
delta_mfcc_std_36,0.004174330826052763
mfcc_mean_9,0.0041417408112286065
mfcc_mean_35,0.0041243696550150675
mfcc_std_7,0.004015178956413839
mfcc_std_18,0.004013874473021132
voiced_fraction,0.003939786850351103
mfcc_std_24,0.003923241143064031
delta2_mfcc_std_36,0.003919834388122427
mfcc_std_37,0.003840643284262315
mfcc_std_30,0.0038177050616488334
spec_centroid_std,0.0038043215186001466
delta_mfcc_std_16,0.0038032765481795837
zcr_std,0.0037883870484349256
mfcc_std_35,0.0037738425681010947
mfcc_mean_6,0.0037728861493964098
chroma_mean,0.003767313496274601
mfcc_std_26,0.0037654033262865777
mfcc_mean_1,0.0037641608325724896
mfcc_mean_31,0.0037401871432097824
delta_mfcc_std_12,0.003695985890497744
mfcc_std_33,0.003677393517281522
mfcc_std_28,0.0035796267909809143
mfcc_std_27,0.0035292132964101506
delta2_mfcc_std_5,0.003510371810754882
mfcc_std_3,0.0035047416544518855
mfcc_mean_34,0.0034453636556027703
mfcc_std_23,0.003407235331742225
mfcc_std_36,0.0033286325536808666
delta_mfcc_std_26,0.0033141032897050153
delta_mfcc_std_37,0.0032856386042120402
delta_mfcc_std_23,0.003276164445936639
delta2_mfcc_std_4,0.0032677107977328907
chroma_std,0.003251259779911721
delta2_mfcc_std_35,0.003240866250263287
hnr_proxy,0.0032096110975043703
delta2_mfcc_std_34,0.0032018743103012027
delta_mfcc_std_15,0.0031895060910714724
spec_contrast_band0_mean,0.0031875339737773784
delta_mfcc_std_29,0.003174038737846684
mfcc_std_22,0.003166620185402079
mfcc_mean_10,0.0031379089577716936
f0_range,0.0031174947726308883
mfcc_std_2,0.0031124312300297528
delta2_mfcc_std_30,0.0031034487730838924
spec_contrast_band5_mean,0.0030921754795633426
delta_mfcc_std_18,0.0030767822347442645
delta2_mfcc_std_26,0.0030520317036447225
delta2_mfcc_std_29,0.0030320473985346067
mfcc_mean_28,0.0029759620023326753
delta_mfcc_std_33,0.002962721218502586
mfcc_std_4,0.0028810637504203354
delta2_mfcc_std_24,0.002849629024965087
delta2_mfcc_std_38,0.002800728541394559
delta_mfcc_std_27,0.002794479203461258
delta2_mfcc_std_7,0.0027719140045149066
delta_mfcc_std_30,0.00276337091987486
spec_flatness_std,0.002752158465529535
delta_mfcc_std_24,0.002702509736576245
